Node,Degree,Closeness,Betweenness,Eigenvector
603,0.07547169811320754,0.3719298245614035,0.005522494989904932,0.027281336201322816
605,0.07547169811320754,0.3719298245614035,0.005522494989904932,0.027281336201322816
606,0.11320754716981132,0.36054421768707484,0.01811235111137908,0.03205331891160281
607,0.11320754716981132,0.42063492063492064,0.032769077937353605,0.043120940566510814
726,0.1320754716981132,0.3642611683848797,0.011130729564360719,0.03284642031470162
709,0.16981132075471697,0.40458015267175573,0.04036308855817892,0.05298045984552529
706,0.14150943396226415,0.36054421768707484,0.008537332602780796,0.03634485287087194
609,0.1320754716981132,0.4274193548387097,0.041905734603797484,0.04624465175825042
604,0.16037735849056603,0.4326530612244898,0.05574010882893833,0.07440079333755134
626,0.08490566037735849,0.35570469798657717,0.006927454792448302,0.024404575520347842
602,0.08490566037735849,0.40458015267175573,0.009943634807499532,0.03936735751452167
608,0.0660377358490566,0.3680555555555556,0.005880692629040692,0.02548595064085418
640,0.04716981132075471,0.34415584415584416,4.4923629829290206e-05,0.017581403598524274
621,0.09433962264150943,0.381294964028777,0.03260693159460004,0.0351778614980057
633,0.08490566037735849,0.3882783882783883,0.011173683987875176,0.03833086523103797
628,0.07547169811320754,0.34983498349834985,0.001244662838085408,0.02770540216357192
618,0.12264150943396226,0.3745583038869258,0.013130914880491295,0.04032818077672866
617,0.09433962264150943,0.35570469798657717,0.005001654672340014,0.032091714730956684
712,0.08490566037735849,0.3897058823529412,0.005322600032611057,0.07576913008376261
713,0.07547169811320754,0.39552238805970147,0.004105191100373939,0.07831761885661746
702,0.07547169811320754,0.4015151515151515,0.013173794000418945,0.06378141853365714
703,0.07547169811320754,0.375886524822695,0.004013135710250015,0.067480896326146
677,0.22641509433962265,0.4608695652173913,0.0731205787087363,0.22844512502379802
710,0.10377358490566037,0.35333333333333333,0.010097084193030311,0.025534313158231726
651,0.08490566037735849,0.33125,0.004149241100274523,0.016661527345126378
649,0.12264150943396226,0.40304182509505704,0.0611198968795102,0.06904302465832443
685,0.08490566037735849,0.33125,0.004149241100274523,0.016661527345126378
624,0.16981132075471697,0.4472573839662447,0.06833632581713664,0.08386983854246677
21609,0.08490566037735849,0.3940520446096654,0.0004470926623955154,0.11013969541591825
719,0.12264150943396226,0.4588744588744589,0.032085134360373614,0.14639355299027318
720,0.12264150943396226,0.41568627450980394,0.01562562263579703,0.14025860086523964
721,0.18867924528301885,0.4588744588744589,0.08064677599996824,0.19591391739876357
722,0.09433962264150943,0.4061302681992337,0.012345776204142761,0.10971780930437916
723,0.11320754716981132,0.4189723320158103,0.0162475031322532,0.12996139139051083
724,0.14150943396226415,0.44166666666666665,0.028860383256305303,0.17533921555628054
728,0.09433962264150943,0.41732283464566927,0.02222450535432346,0.10692093287499242
714,0.07547169811320754,0.34527687296416937,0.0005413674958383299,0.022724175295076025
708,0.09433962264150943,0.37992831541218636,0.016674780817161432,0.02961723106306196
662,0.04716981132075471,0.36054421768707484,0.010398710359403235,0.024298150161027026
610,0.03773584905660377,0.32919254658385094,0.0024610035193762462,0.019404237894909502
616,0.05660377358490566,0.3882783882783883,0.02692405413653681,0.031604794834472316
620,0.03773584905660377,0.32919254658385094,0.0024610035193762462,0.019404237894909502
632,0.02830188679245283,0.28191489361702127,0.0,0.005414641814751577
611,0.07547169811320754,0.3333333333333333,0.0015773943709430495,0.01911626111415869
612,0.08490566037735849,0.3375796178343949,0.0030165837401790285,0.024065699343891175
614,0.07547169811320754,0.33650793650793653,0.0014391893692359788,0.021190484344271038
623,0.07547169811320754,0.33125,0.0026807144787956132,0.020988221144480963
636,0.09433962264150943,0.363013698630137,0.010648325092125379,0.036399617467780324
637,0.07547169811320754,0.35333333333333333,0.00452615802166349,0.0307788020017826
634,0.11320754716981132,0.3882783882783883,0.02541464530040006,0.03972572781363753
630,0.09433962264150943,0.3882783882783883,0.014615031334146248,0.039626527910443764
631,0.08490566037735849,0.3322884012539185,0.024460104315996437,0.022057423277421568
622,0.08490566037735849,0.343042071197411,0.007707416496381849,0.027224368181110105
635,0.0660377358490566,0.3521594684385382,0.0028260941832460263,0.023376861934125824
627,0.03773584905660377,0.3333333333333333,0.0018955035441645164,0.020790424136992485
639,0.09433962264150943,0.41245136186770426,0.03915039294932671,0.06648041525324666
625,0.009433962264150943,0.25,0.0,0.0016962197426196699
673,0.16981132075471697,0.44166666666666665,0.04715097501847202,0.22382417019031398
655,0.12264150943396226,0.4291497975708502,0.009917049055536665,0.1877008721257182
701,0.09433962264150943,0.3642611683848797,0.012120265657135924,0.029460072837205014
704,0.11320754716981132,0.3882783882783883,0.03718474857769583,0.042451060810850816
732,0.07547169811320754,0.3281733746130031,0.0018700902531428789,0.021938212402395525
711,0.05660377358490566,0.30994152046783624,0.002576192196096998,0.011716415933698786
729,0.04716981132075471,0.3037249283667622,0.0013859539607949576,0.00961255859258434
707,0.0660377358490566,0.33125,0.0014219130537282806,0.021042308680295718
717,0.08490566037735849,0.3940520446096654,0.021430059166139267,0.07104454122068797
672,0.16981132075471697,0.4491525423728814,0.018696895623023728,0.2241883405111509
718,0.10377358490566037,0.41245136186770426,0.010013119411407319,0.11925391665024221
679,0.08490566037735849,0.38405797101449274,0.01613298460767959,0.08535986007442081
656,0.10377358490566037,0.3940520446096654,0.0039054620879766556,0.16192605120721698
669,0.1320754716981132,0.4189723320158103,0.009936083941691775,0.19708563652983366
660,0.1320754716981132,0.42231075697211157,0.021965018815625174,0.14298206420029616
716,0.12264150943396226,0.3925925925925926,0.005954976510679602,0.1376193472192968
727,0.05660377358490566,0.363013698630137,0.0009399236425884304,0.06417477051625799
730,0.12264150943396226,0.3897058823529412,0.005923876299982822,0.13214597623274155
200,0.04716981132075471,0.28342245989304815,0.0,0.00687025973339652
725,0.0660377358490566,0.34983498349834985,0.020178001431944283,0.024602853488559666
648,0.10377358490566037,0.34415584415584416,0.016988779521697143,0.022790800831588857
657,0.05660377358490566,0.3002832861189802,0.0003977034246576026,0.00862030467953144
645,0.07547169811320754,0.38267148014440433,0.030751905792318894,0.024507298909526284
646,0.04716981132075471,0.3136094674556213,0.0,0.011509396576663044
705,0.05660377358490566,0.31736526946107785,0.0005043629774293023,0.018010803284914157
650,0.03773584905660377,0.334384858044164,0.005028949768010716,0.020995715721943826
653,0.04716981132075471,0.34983498349834985,0.0009679777958132,0.04562438950386333
675,0.10377358490566037,0.3569023569023569,0.013307188396078794,0.06931343175671664
678,0.0660377358490566,0.3464052287581699,0.006594415815172333,0.04026539384187566
